,mean,std,min,max
MQ135_auc,1033.301675144857,1054.8354196538266,-386.2156004309654,4315.045367181301
MQ135_baseline_ratio,3.657848358154297,1.7481708526611328,0.925609290599823,7.59939432144165
MQ135_decay_rate,0.0002557407483071731,0.0001733185187448489,9.905766472478738e-07,0.0009430555005868276
MQ135_max,1.3556324243545532,0.4457532465457916,0.4410000145435333,2.2130000591278076
MQ135_mean,0.8397873640060425,0.5288139581680298,0.20426999032497406,2.0371387004852295
MQ135_min,0.5366911888122559,0.5784786939620972,0.08100000023841858,2.009000062942505
MQ135_peak_amplitude,0.7774195671081543,0.4583902060985565,0.009279966354370117,1.8740299940109253
MQ135_peak_t,997.9411764705883,845.3978994700933,255.0,3956.0
MQ135_peak_value,1.3512941598892212,0.44010671973228455,0.4410000145435333,2.2130000591278076
MQ135_r0,0.5814648270606995,0.5882391929626465,0.08365999162197113,2.107219934463501
MQ135_rise_rate,0.0011551799077692373,0.0006639409924385129,2.72357134629359e-06,0.0025880680748479284
MQ135_std,0.24735596776008606,0.16008047759532928,0.0031279379036277533,0.6624842882156372
MQ137_auc,1372.451976166052,1101.1413864066137,-337.622030377388,3796.675868436694
MQ137_baseline_ratio,2.847405433654785,1.1497639417648315,0.9270333051681519,5.692687511444092
MQ137_decay_rate,0.0003832416744808414,0.0008307148055933911,0.0,0.006999969482421875
MQ137_max,1.6939266920089722,0.3683087229728699,1.0099999904632568,2.552999973297119
MQ137_mean,1.112821340560913,0.4499378204345703,0.4793632924556732,2.2979094982147217
MQ137_min,0.7261765003204346,0.5200557708740234,0.3050000071525574,2.181999921798706
MQ137_peak_amplitude,0.928291916847229,0.4936351180076599,0.014005064964294434,1.9182299375534058
MQ137_peak_t,1042.9558823529412,930.0605891645555,324.0,3998.0
MQ137_peak_value,1.6866029500961304,0.3583848774433136,1.0099999904632568,2.552999973297119
MQ137_r0,0.7697076797485352,0.5363439321517944,0.31008002161979675,2.3537449836730957
MQ137_rise_rate,0.0013531623996325983,0.0007299039432792586,7.048346735930767e-06,0.002976638449113921
MQ137_std,0.29479169845581055,0.15890982747077942,0.004729405976831913,0.5917418003082275
MQ138_auc,1471.7187189987915,1276.1414506219082,-642.353047400713,4543.219861507416
MQ138_baseline_ratio,2.9326372146606445,1.2121812105178833,0.9115455150604248,5.434682369232178
MQ138_decay_rate,0.0002899243858240962,0.00017013783045836492,0.0,0.0008709453730191586
MQ138_max,1.687279462814331,0.3905230164527893,0.8640000224113464,2.5969998836517334
MQ138_mean,1.137904167175293,0.4765138626098633,0.406592458486557,2.4656522274017334
MQ138_min,0.7162059545516968,0.5394012928009033,0.26600000262260437,2.303999900817871
MQ138_peak_amplitude,0.9236618876457214,0.49702537059783936,0.01662003993988037,1.9241200685501099
MQ138_peak_t,1093.1323529411766,933.8568381510869,299.0,3980.0
MQ138_peak_value,1.6776176691055298,0.37820059061050415,0.8640000224113464,2.5969998836517334
MQ138_r0,0.7699735164642334,0.5631170868873596,0.27344000339508057,2.5275752544403076
MQ138_rise_rate,0.0012440893007536185,0.0006793145556295669,5.2745287019614e-06,0.002795596708331192
MQ138_std,0.308148056268692,0.1671864539384842,0.004765104502439499,0.6007435917854309
MQ3_auc,1221.776770523804,1184.168557700802,-1257.3574930131435,3855.779079273343
MQ3_baseline_ratio,4.2092976570129395,2.1688027381896973,0.31992125511169434,8.125913619995117
MQ3_decay_rate,0.0003438108907042083,0.00020070897148525337,0.0,0.001022540969275386
MQ3_max,1.7924115657806396,0.3440394997596741,1.0850000381469727,2.569999933242798
MQ3_mean,1.0015445947647095,0.5072111487388611,0.3133389949798584,2.3228554725646973
MQ3_min,0.6160293817520142,0.617329478263855,0.19200000166893005,2.257999897003174
MQ3_peak_amplitude,1.1038005352020264,0.5646763443946838,0.004760146141052246,2.1330599784851074
MQ3_peak_t,929.5441176470588,818.5257485318698,0.0,3943.0
MQ3_peak_value,1.7454705238342285,0.3973461091518402,0.42899999022483826,2.569999933242798
MQ3_r0,0.6961132287979126,0.6382367014884949,0.20356498658657074,2.376075029373169
MQ3_rise_rate,0.0017273602094713153,0.0009505736628113606,2.3753224256747734e-06,0.0036701306594522434
MQ3_std,0.3751283586025238,0.1992795765399933,0.0009936465648934245,0.717144787311554
SP3_auc,799.3087582905393,692.7714976151876,-47.32862687110901,2554.0130273401737
SP3_baseline_ratio,3.307217597961426,1.765526533126831,0.9679633975028992,8.542479515075684
SP3_decay_rate,0.0001779525893015502,0.0001323252909455295,0.0,0.0005053406920880902
SP3_max,0.8446764945983887,0.39277076721191406,0.23800000548362732,1.7699999809265137
SP3_mean,0.5346158742904663,0.28157588839530945,0.20643401145935059,1.5545547008514404
SP3_min,0.3265441060066223,0.2874372899532318,0.11299999803304672,1.534000039100647
SP3_peak_amplitude,0.5102089643478394,0.3685106337070465,0.001974940299987793,1.4728999137878418
SP3_peak_t,1324.1176470588234,782.0472087405329,369.0,3999.0
SP3_peak_value,0.8442353010177612,0.39311376214027405,0.23800000548362732,1.7699999809265137
SP3_r0,0.33478471636772156,0.2914847135543823,0.11303000152111053,1.5530650615692139
SP3_rise_rate,0.0004835453700729398,0.0003644036939200937,1.5857046549845888e-06,0.001387607889610507
SP3_std,0.16816334426403046,0.12978336215019226,0.0005805782275274396,0.4897751808166504
TGS800_auc,327.9055076740025,247.2406024593441,-35.419931411743164,986.7699015811086
TGS800_baseline_ratio,1.7019046545028687,0.5206639766693115,0.9763915538787842,3.4933955669403076
TGS800_decay_rate,4.3717054179999966e-05,3.5985268156935407e-05,0.0,0.00016349810441183954
TGS800_max,0.47551465034484863,0.2536865174770355,0.20900000631809235,1.50600004196167
TGS800_mean,0.4075678288936615,0.2590954601764679,0.19653049111366272,1.4718295335769653
TGS800_min,0.32195591926574707,0.2708854079246521,0.1080000028014183,1.440999984741211
TGS800_peak_amplitude,0.1501610428094864,0.09724840521812439,0.0024600625038146973,0.41285502910614014
TGS800_peak_t,1510.3823529411766,909.1888796000592,407.0,3944.0
TGS800_peak_value,0.4752793610095978,0.2535070478916168,0.20900000631809235,1.50600004196167
TGS800_r0,0.32558631896972656,0.27203625440597534,0.10803499817848206,1.4440598487854004
TGS800_rise_rate,0.00012376272280251248,6.959157041503223e-05,6.288503332859656e-07,0.0002652370237064653
TGS800_std,0.04473225772380829,0.0305867288261652,0.0006786372978240252,0.12928123772144318
TGS813_auc,257.41923090207445,217.60189342857444,-65.57566137611866,868.4369233064353
TGS813_baseline_ratio,4.541031360626221,2.4783198833465576,0.9489917159080505,11.371428489685059
TGS813_decay_rate,8.36095117419271e-05,5.4752327550328935e-05,0.0,0.0002455479478182858
TGS813_max,0.385044127702713,0.13010013103485107,0.17000000178813934,0.7960000038146973
TGS813_mean,0.18428555130958557,0.08751814812421799,0.08330750465393066,0.4600673019886017
TGS813_min,0.11486764252185822,0.09683790057897568,0.05299999937415123,0.4189999997615814
TGS813_peak_amplitude,0.26539283990859985,0.16520041227340698,0.0038200020790100098,0.7260000109672546
TGS813_peak_t,944.0294117647059,686.5924288114029,376.0,3923.0
TGS813_peak_value,0.3845735192298889,0.13038946688175201,0.17000000178813934,0.7960000038146973
TGS813_r0,0.11993110924959183,0.09860554337501526,0.0557899996638298,0.4509250223636627
TGS813_rise_rate,0.00035723456469540415,0.0002127024002394019,1.0693282944919684e-06,0.0008382086796084727
TGS813_std,0.07989723980426788,0.05199308320879936,0.0009218170889653265,0.21540860831737518
TGS822_auc,1209.469757395632,924.3311300995387,-402.8858791589737,3437.9449725598097
TGS822_baseline_ratio,2.2417852878570557,0.8448280692100525,0.9242379069328308,4.144141674041748
TGS822_decay_rate,0.00021602583130002362,0.00014573396557076012,0.0,0.0004901243285184021
TGS822_max,1.274970531463623,0.6351596713066101,0.32100000977516174,3.430000066757202
TGS822_mean,0.9705873131752014,0.6050763130187988,0.318939745426178,3.323594570159912
